Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Output1
9.0,-26.0,15.0,11.0,4.0,0.0,0.5,13.0,0.3333333333333333,-2.6666666666666665,0.0,1.0
11.0,-26.0,18.0,14.0,4.0,3.0,1.0,12.0,0.6666666666666666,-2.1666666666666665,1.0,0.0
12.0,-29.0,18.0,14.0,4.0,0.0,0.5,12.0,0.6666666666666666,-2.6666666666666665,1.0,1.0
16.0,-30.0,21.0,14.0,7.0,3.0,1.0,19.0,1.3333333333333333,-2.1666666666666665,0.0,0.5
17.0,-31.0,22.0,14.0,8.0,1.0,1.1666666666666667,19.0,1.3333333333333333,-2.0,0.0,0.5
18.0,-32.0,23.0,15.0,8.0,1.0,1.3333333333333333,19.0,1.5,-1.3333333333333333,1.0,0.5
18.0,-32.0,24.0,16.0,8.0,1.0,1.5,18.0,1.5,-1.0,1.0,0.0
18.0,-35.0,24.0,16.0,8.0,0.0,1.0,18.0,1.1666666666666667,-1.5,0.0,0.0
19.0,-39.0,24.0,16.0,8.0,0.0,1.0,19.0,1.1666666666666667,-1.6666666666666667,1.0,0.0
19.0,-41.0,24.0,16.0,8.0,0.0,0.5,19.0,0.5,-1.8333333333333333,0.0,0.0
19.0,-44.0,24.0,16.0,8.0,0.0,0.3333333333333333,19.0,0.3333333333333333,-2.1666666666666665,1.0,0.0
19.0,-46.0,24.0,16.0,8.0,0.0,0.16666666666666666,18.0,0.16666666666666666,-2.3333333333333335,0.0,1.0
23.0,-47.0,27.0,19.0,8.0,3.0,0.5,18.0,0.8333333333333334,-2.5,1.0,1.0
25.0,-48.0,30.0,19.0,11.0,3.0,1.0,18.0,1.1666666666666667,-2.1666666666666665,0.0,0.0
25.0,-50.0,30.0,19.0,11.0,0.0,1.0,17.0,1.0,-1.8333333333333333,0.0,0.5
25.0,-50.0,31.0,20.0,11.0,1.0,1.1666666666666667,17.0,1.0,-1.5,1.0,0.0
25.0,-52.0,31.0,20.0,11.0,0.0,1.1666666666666667,17.0,1.0,-1.3333333333333333,1.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,-4.0,0.0,0.0
2.0,-7.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,-3.5,0.0,0.0
2.0,-10.0,0.0,0.0,0.0,0.0,0.0,14.0,0.6666666666666666,-3.3333333333333335,0.0,1.0
4.0,-10.0,3.0,3.0,0.0,3.0,0.75,12.0,1.0,-2.5,1.0,0.5
4.0,-10.0,4.0,3.0,1.0,1.0,0.8,10.0,0.8,-2.0,0.0,0.0
6.0,-13.0,4.0,3.0,1.0,0.0,0.6666666666666666,8.0,1.0,-2.1666666666666665,1.0,1.0
7.0,-13.0,7.0,6.0,1.0,3.0,1.1666666666666667,6.0,1.1666666666666667,-1.5,1.0,0.5
8.0,-14.0,8.0,6.0,2.0,1.0,1.3333333333333333,4.0,1.0,-1.1666666666666667,0.0,0.0
8.0,-17.0,8.0,6.0,2.0,0.0,1.3333333333333333,2.0,1.0,-1.1666666666666667,1.0,0.5
10.0,-19.0,9.0,6.0,3.0,1.0,1.0,6.0,1.0,-1.5,0.0,0.0
11.0,-23.0,9.0,6.0,3.0,0.0,0.8333333333333334,6.0,1.1666666666666667,-2.1666666666666665,1.0,0.0
11.0,-25.0,9.0,6.0,3.0,0.0,0.8333333333333334,8.0,0.8333333333333334,-2.0,0.0,0.5
