Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Input17,Input18,Input19,Input20,Input21,Input22,Output1,Output2,Output3
9.0,5.0,12.0,6.0,6.0,0.0,2.4,8.0,1.8,0.6,0.0,14.0,7.0,15.0,9.0,6.0,3.0,2.4,6.0,2.4,1.4,1.0,0.0,1.0,0.0
16.0,13.0,13.0,9.0,4.0,1.0,1.4,7.0,2.4,1.8,0.0,22.0,12.0,15.0,9.0,6.0,0.0,2.4,6.0,3.2,1.4,0.0,1.0,0.0,0.0
6.0,10.0,9.0,6.0,3.0,1.0,1.0,12.0,0.8,1.2,0.0,8.0,11.0,5.0,1.0,4.0,1.0,0.4,19.0,1.0,1.8,1.0,1.0,0.0,0.0
4.0,13.0,3.0,0.0,3.0,3.0,0.6,20.0,0.6,1.4,0.0,19.0,12.0,16.0,9.0,7.0,1.0,1.4,3.0,2.0,1.8,0.0,0.0,0.0,1.0
19.0,8.0,19.0,10.0,9.0,1.0,2.6,3.0,2.6,1.4,1.0,10.0,11.0,8.0,2.0,6.0,1.0,1.6,13.0,2.0,1.8,1.0,1.0,0.0,0.0
9.0,11.0,10.0,7.0,3.0,1.0,2.0,11.0,1.6,0.8,1.0,7.0,14.0,7.0,4.0,3.0,0.0,0.8,16.0,1.2,2.2,1.0,0.0,1.0,0.0
10.0,6.0,13.0,7.0,6.0,1.0,2.0,8.0,1.4,0.6,1.0,18.0,6.0,21.0,12.0,9.0,3.0,2.4,2.0,2.2,0.8,1.0,1.0,0.0,0.0
24.0,10.0,15.0,9.0,6.0,3.0,1.8,7.0,2.8,1.6,1.0,5.0,8.0,7.0,4.0,3.0,0.0,0.6,18.0,0.8,1.4,0.0,1.0,0.0,0.0
8.0,15.0,9.0,6.0,3.0,0.0,1.2,12.0,1.2,1.8,0.0,15.0,8.0,16.0,9.0,7.0,1.0,2.0,6.0,2.4,1.6,0.0,0.0,1.0,0.0
8.0,15.0,7.0,7.0,0.0,0.0,1.4,16.0,1.4,2.2,0.0,7.0,16.0,12.0,12.0,0.0,3.0,1.2,10.0,1.0,2.8,1.0,1.0,0.0,0.0
6.0,10.0,7.0,3.0,4.0,1.0,0.8,17.0,1.0,1.6,0.0,8.0,20.0,7.0,6.0,1.0,3.0,0.8,16.0,1.0,2.6,1.0,1.0,0.0,0.0
8.0,15.0,8.0,4.0,4.0,1.0,0.8,16.0,1.2,2.2,0.0,12.0,7.0,16.0,10.0,6.0,3.0,2.0,7.0,1.4,0.8,1.0,0.0,1.0,0.0
21.0,13.0,19.0,9.0,10.0,3.0,1.4,3.0,2.0,1.8,0.0,8.0,11.0,12.0,9.0,3.0,3.0,1.0,10.0,1.0,1.4,1.0,0.0,0.0,1.0
8.0,22.0,7.0,6.0,1.0,0.0,0.6,17.0,0.8,2.8,0.0,5.0,15.0,3.0,0.0,3.0,0.0,0.6,20.0,0.8,1.6,1.0,0.0,1.0,0.0
19.0,8.0,21.0,12.0,9.0,0.0,1.8,2.0,1.8,1.2,0.0,11.0,17.0,10.0,10.0,0.0,3.0,1.8,12.0,2.0,2.6,1.0,1.0,0.0,0.0
9.0,19.0,12.0,12.0,0.0,0.0,1.2,10.0,1.4,2.8,0.0,9.0,16.0,10.0,7.0,3.0,1.0,1.4,13.0,1.2,1.6,1.0,0.0,0.0,1.0
6.0,11.0,7.0,4.0,3.0,0.0,0.6,18.0,0.8,1.6,0.0,17.0,13.0,16.0,12.0,4.0,3.0,2.0,7.0,2.6,1.6,1.0,1.0,0.0,0.0
9.0,13.0,5.0,1.0,4.0,0.0,0.2,19.0,1.2,2.2,0.0,27.0,11.0,18.0,12.0,6.0,3.0,2.4,4.0,3.2,1.4,1.0,0.0,1.0,0.0
16.0,9.0,17.0,9.0,8.0,1.0,1.6,5.0,2.4,1.8,0.0,8.0,10.0,10.0,6.0,4.0,3.0,1.4,14.0,1.4,1.2,1.0,0.0,1.0,0.0
22.0,13.0,15.0,9.0,6.0,0.0,1.8,8.0,2.6,1.2,0.0,21.0,9.0,22.0,13.0,9.0,3.0,2.6,2.0,2.6,1.4,1.0,1.0,0.0,0.0
11.0,13.0,8.0,2.0,6.0,0.0,1.6,17.0,1.8,1.6,0.0,10.0,12.0,11.0,8.0,3.0,1.0,1.6,12.0,1.4,0.8,1.0,1.0,0.0,0.0
18.0,15.0,16.0,12.0,4.0,0.0,1.4,8.0,2.0,1.8,0.0,11.0,15.0,6.0,2.0,4.0,1.0,0.4,19.0,1.6,2.4,1.0,0.0,1.0,0.0
9.0,11.0,15.0,9.0,6.0,3.0,1.6,9.0,1.0,1.0,0.0,9.0,16.0,9.0,5.0,4.0,1.0,1.0,17.0,1.2,1.8,1.0,0.0,1.0,0.0
